c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:469 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:473 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:476 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:480 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:483 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:487 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:490 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:494 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:497 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:501 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:504 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:508 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:511 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:515 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:518 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:522 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:525 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:529 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:532 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:536 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:539 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:543 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:546 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:550 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:553 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:557 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:560 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:564 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:567 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:571 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:574 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:578 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:581 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:585 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:588 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:592 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:595 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:599 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:602 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:606 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:609 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:613 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:616 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:620 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:623 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:627 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:630 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:634 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:637 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:641 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:644 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:648 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:651 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:655 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:658 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:662 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:665 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:669 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:672 ppuctrl: 00, ppumask: 00, nmi: 1
